#chrom	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	transcriptID	geneID	geneSymbol	biotype
1	+	430417	431458	1	430417	431458	L1PA15-16.1.chr1_430417-431458.+	L1PA15-16.1.chr1_430417-431458.+	None	None
1	+	440935	447357	1	440935	447357	L1PA7.1.chr1_440935-447357.+	L1PA7.1.chr1_440935-447357.+	None	None
1	+	666158	667201	1	666158	667201	L1PA15-16.1.chr1_666158-667201.+	L1PA15-16.1.chr1_666158-667201.+	None	None
1	+	675911	682333	1	675911	682333	L1PA7.1.chr1_675911-682333.+	L1PA7.1.chr1_675911-682333.+	None	None
1	-	885340	887183	1	885340	887183	L1PA7.1.chr1_885340-887183.-	L1PA7.1.chr1_885340-887183.-	None	None
1	-	4864391	4867230	1	4864391	4867230	L1PA4.1.chr1_4864391-4867230.-	L1PA4.1.chr1_4864391-4867230.-	None	None
1	-	7411757	7417922	1	7411757	7417922	L1PA4.1.chr1_7411757-7417922.-	L1PA4.1.chr1_7411757-7417922.-	None	None
1	-	7602176	7605817	1	7602176	7605817	L1PA4.1.chr1_7602176-7605817.-	L1PA4.1.chr1_7602176-7605817.-	None	None
1	+	11160802	11164062	1	11160802	11164062	L1PA5.1.chr1_11160802-11164062.+	L1PA5.1.chr1_11160802-11164062.+	None	None
1	-	12816749	12819764	1	12816749	12819764	L1PA4.1.chr1_12816749-12819764.-	L1PA4.1.chr1_12816749-12819764.-	None	None
1	-	12871501	12874333	1	12871501	12874333	L1PA7.1.chr1_12871501-12874333.-	L1PA7.1.chr1_12871501-12874333.-	None	None
1	+	12905134	12907619	1	12905134	12907619	L1PA4.1.chr1_12905134-12907619.+	L1PA4.1.chr1_12905134-12907619.+	None	None
1	-	13041750	13044582	1	13041750	13044582	L1PA7.1.chr1_13041750-13044582.-	L1PA7.1.chr1_13041750-13044582.-	None	None
1	+	13184352	13187184	1	13184352	13187184	L1PA7.1.chr1_13184352-13187184.+	L1PA7.1.chr1_13184352-13187184.+	None	None
1	-	13294161	13296657	1	13294161	13296657	L1PA4.1.chr1_13294161-13296657.-	L1PA4.1.chr1_13294161-13296657.-	None	None
1	+	13330112	13333125	1	13330112	13333125	L1PA7.1.chr1_13330112-13333125.+	L1PA7.1.chr1_13330112-13333125.+	None	None
1	+	13995899	13999067	1	13995899	13999067	L1PA10.1.chr1_13995899-13999067.+	L1PA10.1.chr1_13995899-13999067.+	None	None
1	-	14355444	14361840	1	14355444	14361840	L1PA7.1.chr1_14355444-14361840.-	L1PA7.1.chr1_14355444-14361840.-	None	None
1	-	14382318	14388341	1	14382318	14388341	L1PA3.1.chr1_14382318-14388341.-	L1PA3.1.chr1_14382318-14388341.-	None	None
1	-	19993380	19995927	1	19993380	19995927	L1PA10.1.chr1_19993380-19995927.-	L1PA10.1.chr1_19993380-19995927.-	None	None
1	-	24269391	24275214	1	24269391	24275214	L1PA7.1.chr1_24269391-24275214.-	L1PA7.1.chr1_24269391-24275214.-	None	None
1	+	25506585	25512707	1	25506585	25512707	L1PA2.1.chr1_25506585-25512707.+	L1PA2.1.chr1_25506585-25512707.+	None	None
1	-	30453585	30459718	1	30453585	30459718	L1PA5.1.chr1_30453585-30459718.-	L1PA5.1.chr1_30453585-30459718.-	None	None
1	+	30493389	30499556	1	30493389	30499556	L1PA4.1.chr1_30493389-30499556.+	L1PA4.1.chr1_30493389-30499556.+	None	None
1	-	30581287	30585742	1	30581287	30585742	L1PA6.1.chr1_30581287-30585742.-	L1PA6.1.chr1_30581287-30585742.-	None	None
1	+	33671997	33678118	1	33671997	33678118	L1PA4.1.chr1_33671997-33678118.+	L1PA4.1.chr1_33671997-33678118.+	None	None
1	+	33829520	33835665	1	33829520	33835665	L1PA3.1.chr1_33829520-33835665.+	L1PA3.1.chr1_33829520-33835665.+	None	None
1	+	34092394	34098413	1	34092394	34098413	L1PA2.1.chr1_34092394-34098413.+	L1PA2.1.chr1_34092394-34098413.+	None	None
1	+	34250741	34256767	1	34250741	34256767	L1PA3.1.chr1_34250741-34256767.+	L1PA3.1.chr1_34250741-34256767.+	None	None
1	-	34566055	34572105	1	34566055	34572105	L1HS.1.chr1_34566055-34572105.-	L1HS.1.chr1_34566055-34572105.-	None	None
1	-	37375023	37381203	1	37375023	37381203	L1PA6.1.chr1_37375023-37381203.-	L1PA6.1.chr1_37375023-37381203.-	None	None
1	-	38629156	38635345	1	38629156	38635345	L1PA6.1.chr1_38629156-38635345.-	L1PA6.1.chr1_38629156-38635345.-	None	None
1	+	41176264	41182362	1	41176264	41182362	L1PA4.1.chr1_41176264-41182362.+	L1PA4.1.chr1_41176264-41182362.+	None	None
1	-	41255556	41258853	1	41255556	41258853	L1PA12.1.chr1_41255556-41258853.-	L1PA12.1.chr1_41255556-41258853.-	None	None
1	-	41552781	41555631	1	41552781	41555631	L1PA6.1.chr1_41552781-41555631.-	L1PA6.1.chr1_41552781-41555631.-	None	None
1	+	41964111	41966472	1	41964111	41966472	L1PA10.1.chr1_41964111-41966472.+	L1PA10.1.chr1_41964111-41966472.+	None	None
1	+	42059275	42065372	1	42059275	42065372	L1PA4.1.chr1_42059275-42065372.+	L1PA4.1.chr1_42059275-42065372.+	None	None
1	-	42234037	42235549	1	42234037	42235549	L1PA4.1.chr1_42234037-42235549.-	L1PA4.1.chr1_42234037-42235549.-	None	None
1	-	43114527	43120516	1	43114527	43120516	L1PA2.1.chr1_43114527-43120516.-	L1PA2.1.chr1_43114527-43120516.-	None	None
1	+	45162354	45168482	1	45162354	45168482	L1PA5.1.chr1_45162354-45168482.+	L1PA5.1.chr1_45162354-45168482.+	None	None
1	+	45179944	45182134	1	45179944	45182134	L1PA3.1.chr1_45179944-45182134.+	L1PA3.1.chr1_45179944-45182134.+	None	None
1	+	45284565	45290711	1	45284565	45290711	L1PA4.1.chr1_45284565-45290711.+	L1PA4.1.chr1_45284565-45290711.+	None	None
1	+	46728039	46731434	1	46728039	46731434	L1PA7.1.chr1_46728039-46731434.+	L1PA7.1.chr1_46728039-46731434.+	None	None
1	-	46825138	46831312	1	46825138	46831312	L1PA5.1.chr1_46825138-46831312.-	L1PA5.1.chr1_46825138-46831312.-	None	None
1	+	46846137	46850891	1	46846137	46850891	L1PA5.1.chr1_46846137-46850891.+	L1PA5.1.chr1_46846137-46850891.+	None	None
1	-	46922302	46925855	1	46922302	46925855	L1PA7.1.chr1_46922302-46925855.-	L1PA7.1.chr1_46922302-46925855.-	None	None
1	-	46965403	46966726	1	46965403	46966726	L1PA12.1.chr1_46965403-46966726.-	L1PA12.1.chr1_46965403-46966726.-	None	None
1	+	46975973	46982143	1	46975973	46982143	L1PA6.1.chr1_46975973-46982143.+	L1PA6.1.chr1_46975973-46982143.+	None	None
1	+	47006446	47012568	1	47006446	47012568	L1PA5.1.chr1_47006446-47012568.+	L1PA5.1.chr1_47006446-47012568.+	None	None
1	+	47153045	47157137	1	47153045	47157137	L1PA8.1.chr1_47153045-47157137.+	L1PA8.1.chr1_47153045-47157137.+	None	None
1	+	47165916	47172061	1	47165916	47172061	L1PA4.1.chr1_47165916-47172061.+	L1PA4.1.chr1_47165916-47172061.+	None	None
1	+	47956240	47962375	1	47956240	47962375	L1PA5.1.chr1_47956240-47962375.+	L1PA5.1.chr1_47956240-47962375.+	None	None
1	+	48150125	48156157	1	48150125	48156157	L1PA2.1.chr1_48150125-48156157.+	L1PA2.1.chr1_48150125-48156157.+	None	None
1	-	48167952	48173676	1	48167952	48173676	L1PA7.1.chr1_48167952-48173676.-	L1PA7.1.chr1_48167952-48173676.-	None	None
1	+	48277194	48283343	1	48277194	48283343	L1PA3.1.chr1_48277194-48283343.+	L1PA3.1.chr1_48277194-48283343.+	None	None
1	+	48311588	48317689	1	48311588	48317689	L1PA4.1.chr1_48311588-48317689.+	L1PA4.1.chr1_48311588-48317689.+	None	None
1	-	48363803	48369929	1	48363803	48369929	L1PA3.1.chr1_48363803-48369929.-	L1PA3.1.chr1_48363803-48369929.-	None	None
1	+	49006012	49012044	1	49006012	49012044	L1PA3.1.chr1_49006012-49012044.+	L1PA3.1.chr1_49006012-49012044.+	None	None
1	-	49068236	49074523	1	49068236	49074523	L1PA6.1.chr1_49068236-49074523.-	L1PA6.1.chr1_49068236-49074523.-	None	None
1	+	49085502	49092197	1	49085502	49092197	L1PA15.1.chr1_49085502-49092197.+	L1PA15.1.chr1_49085502-49092197.+	None	None
1	-	49116225	49122348	1	49116225	49122348	L1PA6.1.chr1_49116225-49122348.-	L1PA6.1.chr1_49116225-49122348.-	None	None
1	-	49158376	49161513	1	49158376	49161513	L1PA7.1.chr1_49158376-49161513.-	L1PA7.1.chr1_49158376-49161513.-	None	None
